IdVenda,Data,Mês,Nome do Mês,Ano,Produto,Quantidade,PreçoUnitario,StatusPagamento
1049,2023-05-11,5,Maio,2023,MOUSE LOGITECH MX MASTER,1,69900,Aprovado
1050,2023-05-14,5,Maio,2023,SSD KINGSTON 1TB,3,34900,Aprovado
1051,2023-05-16,5,Maio,2023,SAMSUNG GALAXY S21,2,319900,Aprovado
1052,2023-05-19,5,Maio,2023,TECLADO MECÂNICO REDRAGON,1,39900,Cancelado
1053,2023-05-22,5,Maio,2023,IPAD PRO,2,799900,Aprovado
1054,2023-05-24,5,Maio,2023,HEADPHONE SONY WH-1000XM4,1,149900,Aprovado
1055,2023-05-27,5,Maio,2023,"MONITOR LG 27""",2,189900,Aprovado
1056,2023-05-30,5,Maio,2023,IPHONE 13,1,459990,Aprovado
1057,2023-06-01,6,Junho,2023,PLACA DE VIDEO RTX 3060,1,289900,Pendente
1058,2023-06-04,6,Junho,2023,WEBCAM LOGITECH C920,3,79900,Aprovado
1059,2023-06-07,6,Junho,2023,SAMSUNG GALAXY S21,2,319900,Aprovado
1060,2023-06-09,6,Junho,2023,FONTE CORSAIR 650W,1,59900,Cancelado
1061,2023-06-12,6,Junho,2023,NOTEBOOK DELL INSPIRON,4,429900,Aprovado
1062,2023-06-15,6,Junho,2023,MOUSE LOGITECH MX MASTER,2,69900,Aprovado
1063,2023-06-17,6,Junho,2023,IPHONE 13,2,459990,Aprovado
1064,2023-06-20,6,Junho,2023,SSD KINGSTON 1TB,1,34900,Pendente
1065,2023-06-23,6,Junho,2023,IPAD PRO,3,799900,Aprovado
1066,2023-06-25,6,Junho,2023,TECLADO MECÂNICO REDRAGON,2,39900,Aprovado
1067,2023-06-28,6,Junho,2023,HEADPHONE SONY WH-1000XM4,1,149900,Cancelado
1068,2023-07-01,7,Julho,2023,SAMSUNG GALAXY S21,1,319900,Aprovado
1069,2023-07-03,7,Julho,2023,"MONITOR LG 27""",2,189900,Aprovado
1070,2023-07-06,7,Julho,2023,PLACA DE VIDEO RTX 3060,1,289900,Aprovado
1071,2023-07-09,7,Julho,2023,IPAD PRO,2,799900,Pendente
1072,2023-07-11,7,Julho,2023,WEBCAM LOGITECH C920,3,79900,Aprovado
1073,2023-07-14,7,Julho,2023,IPHONE 13,2,459990,Aprovado
1074,2023-07-17,7,Julho,2023,FONTE CORSAIR 650W,1,59900,Aprovado
1075,2023-07-19,7,Julho,2023,NOTEBOOK DELL INSPIRON,2,429900,Cancelado
1076,2023-07-22,7,Julho,2023,MOUSE LOGITECH MX MASTER,2,69900,Aprovado
1077,2023-07-25,7,Julho,2023,SSD KINGSTON 1TB,4,34900,Aprovado
1078,2023-07-27,7,Julho,2023,SAMSUNG GALAXY S21,1,319900,Aprovado
1079,2023-07-30,7,Julho,2023,TECLADO MECÂNICO REDRAGON,2,39900,Pendente
1080,2023-08-02,8,Agosto,2023,HEADPHONE SONY WH-1000XM4,1,149900,Aprovado
1081,2023-08-04,8,Agosto,2023,"MONITOR LG 27""",1,189900,Aprovado
1082,2023-08-07,8,Agosto,2023,IPAD PRO,3,799900,Aprovado
1083,2023-08-10,8,Agosto,2023,IPHONE 13,2,459990,Cancelado
1084,2023-08-12,8,Agosto,2023,PLACA DE VIDEO RTX 3060,1,289900,Aprovado
1085,2023-08-15,8,Agosto,2023,WEBCAM LOGITECH C920,1,79900,Aprovado
1086,2023-08-18,8,Agosto,2023,SAMSUNG GALAXY S21,2,319900,Aprovado
1087,2023-08-20,8,Agosto,2023,FONTE CORSAIR 650W,3,59900,Aprovado
1088,2023-08-23,8,Agosto,2023,NOTEBOOK DELL INSPIRON,2,429900,Pendente
1089,2023-08-26,8,Agosto,2023,IPHONE 13,1,459990,Aprovado
1090,2023-08-28,8,Agosto,2023,SSD KINGSTON 1TB,2,34900,Aprovado
1091,2023-08-31,8,Agosto,2023,MOUSE LOGITECH MX MASTER,4,69900,Cancelado
1092,2023-09-03,9,Setembro,2023,IPAD PRO,1,799900,Aprovado
1093,2023-09-05,9,Setembro,2023,TECLADO MECÂNICO REDRAGON,2,39900,Aprovado
1094,2023-09-08,9,Setembro,2023,HEADPHONE SONY WH-1000XM4,2,149900,Aprovado
1095,2023-09-11,9,Setembro,2023,SAMSUNG GALAXY S21,1,319900,Aprovado
1096,2023-09-13,9,Setembro,2023,"MONITOR LG 27""",3,189900,Pendente
1097,2023-09-16,9,Setembro,2023,NOTEBOOK DELL INSPIRON,2,429900,Aprovado
1098,2023-09-19,9,Setembro,2023,PLACA DE VIDEO RTX 3060,1,289900,Aprovado
1099,2023-09-21,9,Setembro,2023,IPHONE 13,1,459990,Aprovado
1100,2023-09-24,9,Setembro,2023,WEBCAM LOGITECH C920,2,79900,Aprovado
