ID_Pedido,Data,Produto,Quantidade,Preço_Unitário,Status_Pagamento
1083,2023-08-10,IPHONE 13,2,4599.90,Cancelado
1084,12/08/2023,placa de vídeo RTX 3060,,2899.00,Aprovado
1085,2023-08-15,Webcam Logitech C920,1,799.00,Aprovado
1086,2023-08-18,Samsung Galaxy S21,2,3199.00,Aprovado
1087,20/08/2023,fonte Corsair 650w,3,599.00,Aprovado
1088,2023-08-23,Notebook Dell Inspiron,,4299.00,Pendente
1089,2023-08-26,iphone 13,1,4599.90,Aprovado
1090,28/08/2023,SSD Kingston 1TB,2,349.00,Aprovado
1091,2023-08-31,MOUSE LOGITECH MX MASTER,4,699.00,Cancelado
1092,2023-09-03,iPad pro,1,7999.00,Aprovado
1093,05/09/2023,Teclado Mecânico Redragon,,399.00,Aprovado
1094,2023-09-08,Headphone Sony WH-1000XM4,2,1499.00,Aprovado
1095,2023-09-11,samsung galaxy S21,1,3199.00,Aprovado
1096,13/09/2023,Monitor LG 27",3,1899.00,Pendente
1097,2023-09-16,NOTEBOOK dell inspiron,2,4299.00,Aprovado
1098,2023-09-19,Placa de Vídeo RTX 3060,,2899.00,Aprovado
1099,21/09/2023,iPhone 13,1,4599.90,Aprovado
1100,2023-09-24,Webcam Logitech C920,2,799.00,Aprovado
